Crop,RMSE,NRMSE,Loss% (MAPE),Accuracy
Bajra-2015-2019,919.5555321208803,0.14243425218724912,31.02695255571078,68.97304744428922
Bajra-2019-2022,539.5678446291529,0.6572080933363617,29.81509148406766,70.18490851593234
Bajra-2022-2025,466.0331535601109,0.2709495078837854,17.682243071928127,82.31775692807187
Banana - Green,877.0233442462002,0.022487778057594877,23.5284110016686,76.4715889983314
Banana,1554.1525811133195,0.14128659828302903,22.097459883475835,77.90254011652416
Blackgram-2019-2022,1894.0439860302529,0.3857523393136971,42.09413202601274,57.90586797398726
Blackgram-2022-2025,1048.8651750880924,0.30490266717677106,8.491405989607854,91.50859401039214
Cashewnuts,2904.3027411053436,0.05013642351031183,10.009632129584384,89.99036787041561
Coconut-2015-2019,1114.2426378343039,0.08857254672768711,43.47642713067466,56.52357286932534
Coconut-2019-2022,911.4330685529808,0.09554807302159354,29.545653293007636,70.45434670699237
Coconut-2022-2024,690.8667456921323,0.07650794525937235,28.52777917128425,71.47222082871575
Coconut-2024-2025,1253.6667509513168,0.19588542983614324,25.63660823766903,74.36339176233096
Coconut-2025,1350.4833856671146,0.19292619795244495,21.913402284377867,78.08659771562213
Corriander,1878.6568288332014,0.17078698443938195,34.40627428830983,65.59372571169017
Cotton,3012.7174996085005,0.23101890189467836,42.04452557054043,57.95547442945957
Garlic,4066.335718526183,1.0165839296315458,18.91927573116966,81.08072426883034
GreenGram,5762.033954889697,0.9204527084488334,78.69089797001425,21.309102029985752
Groundnut,1023.5347149662517,0.1574668792255772,12.67190132274654,87.32809867725346
Guava,1693.861710081052,0.1302970546216194,24.18897738950339,75.81102261049661
Jowar-2015-2019,743.1504730138687,0.22588160273977773,23.922201090064952,76.07779890993504
Jowar-2019-2022,900.4549315220349,0.27369450806140877,33.9465246221525,66.05347537784749
Jowar-2022-2025,1147.9335872033657,0.31025232086577453,35.480062155236666,64.51993784476333
Lemon,9948.49997294829,0.01220076032983602,87.09177977650454,12.908220223495462
Maize-2015-2019,3327.1194044614294,0.02253229990831254,24.857783344511102,75.1422166554889
Maize-2019-2022,334.67727517916444,0.0931729607959812,14.915247428595658,85.08475257140434
Maize-2022-2025,571.348265225385,0.22853930609015402,17.5165445767564,82.4834554232436
Mango-Raw-Ripe,1039.6791991736045,0.09451629083396404,42.739823930450136,57.260176069549864
Mango,2559.3100579085576,0.17589759848168782,46.7814245952616,53.2185754047384
Mousambi,1725.816939192676,0.156892449017516,29.875890954044205,70.12410904595579
Onion,452.1174689536922,0.056514683619211525,12.211337059540037,87.78866294045996
Paddy-2015-2019,558.8918389724147,0.12848088252239417,25.90464374756557,74.09535625243443
Paddy-2019-2022,311.36071802831754,0.10707039822156723,14.807781258841551,85.19221874115846
Paddy-2022-2025,429.1933198677985,0.122626662819371,16.34894600195817,83.65105399804183
Ragi-2015-2019,323.7854274876061,0.15484716761721956,14.459778305495757,85.54022169450424
Ragi-2019-2022,999.9157246570246,0.3367853569070477,32.325060125504294,67.6749398744957
Ragi-2022-2025,1008.9047286898107,0.17231506894787543,26.59929655644671,73.40070344355328
Red_Chillies,2907.854955402675,0.0855251457471375,12.218390207319613,87.78160979268038
Red_Gram,2230.2769237558764,0.2855668276255924,3.639769436360062e+20,-3.639769436360062e+20
Rubber,2927.062076754038,0.23992312104541297,18.148962602975466,81.85103739702453
Seasame-2015-2019,2339.507297520559,0.17117039339586215,27.686327158820507,72.3136728411795
Seasame-2019-2022,3377.0386706876525,0.26397550775327544,34.524383677571834,65.47561632242817
Seasame-2022-2025,2175.3943670166673,0.19667248594310346,16.40004065560027,83.59995934439974
Sugarcane,1045.5920321266983,2.647068435763793,17.917886154435266,82.08211384556473
Sunflower,1373.1629933742997,0.23171835865242993,25.73613142388764,74.26386857611236
Tapioca,619.9998291907924,0.04592591327339203,16.546946513910026,83.45305348608997
Turmeric,3630.543412788713,0.12256239999961896,24.405889005247893,75.5941109947521
