Crop,RMSE,NRMSE,Loss% (MAPE),Accuracy
Bajra-2015-2019,942.4295896565856,0.14597732181793457,33.48141631756319,66.51858368243681
Bajra-2019-2022,535.6158538290534,0.6523944626419652,29.118835513791147,70.88116448620886
Bajra-2022-2025,501.193527746138,0.29139158589891745,19.069094665321686,80.93090533467831
Banana - Green,877.0233442462002,0.022487778057594877,23.5284110016686,76.4715889983314
Banana,1554.1525811133195,0.14128659828302903,22.097459883475835,77.90254011652416
Blackgram-2019-2022,1894.0439860302529,0.3857523393136971,42.09413202601274,57.90586797398726
Blackgram-2022-2025,1155.6233722410632,0.3359370268142626,10.024421629346774,89.97557837065322
Cashewnuts,2907.500309513958,0.05019162252302786,10.093225198115427,89.90677480188458
Coconut-2015-2019,1114.2426378343039,0.08857254672768711,43.47642713067466,56.52357286932534
Coconut-2019-2022,911.4330685529808,0.09554807302159354,29.545653293007636,70.45434670699237
Coconut-2022-2024,690.8667456921323,0.07650794525937235,28.52777917128425,71.47222082871575
Coconut-2024-2025,1253.6667509513168,0.19588542983614324,25.63660823766903,74.36339176233096
Coconut-2025,1350.4833856671146,0.19292619795244495,21.913402284377867,78.08659771562213
Corriander,1878.6568288332014,0.17078698443938195,34.40627428830983,65.59372571169017
Cotton,3012.6811508573132,0.23101611462750657,42.044005665043834,57.955994334956166
Garlic,4066.335718526183,1.0165839296315458,18.91927573116966,81.08072426883034
GreenGram,5704.648933020242,0.911285772047962,77.92142211438919,22.078577885610812
Groundnut,1023.5347149662517,0.1574668792255772,12.67190132274654,87.32809867725346
Guava,1693.861710081052,0.1302970546216194,24.18897738950339,75.81102261049661
Jowar-2015-2019,743.3868370925799,0.22595344592479633,23.93194834939938,76.06805165060062
Jowar-2019-2022,937.7768868915732,0.28503856744424716,35.73290395296704,64.26709604703296
Jowar-2022-2025,1150.1734697484037,0.3108576945265956,35.2411755588079,64.7588244411921
Lemon,10017.988205992087,0.012285980139798978,88.43246457667581,11.567535423324188
Maize-2015-2019,3327.119412045596,0.022532299959674904,24.85779201503459,75.14220798496541
Maize-2019-2022,334.67727517916444,0.0931729607959812,14.915247428595658,85.08475257140434
Maize-2022-2025,571.4394994802122,0.2285757997920849,17.52312515929837,82.47687484070163
Mango-Raw-Ripe,1039.6791991736045,0.09451629083396404,42.739823930450136,57.260176069549864
Mango,2559.3100579085576,0.17589759848168782,46.7814245952616,53.2185754047384
Mousambi,1725.816939192676,0.156892449017516,29.875890954044205,70.12410904595579
Onion,452.1174689536922,0.056514683619211525,12.211337059540037,87.78866294045996
Paddy-2015-2019,558.8918389724147,0.12848088252239417,25.90464374756557,74.09535625243443
Paddy-2019-2022,311.36071802831754,0.10707039822156723,14.807781258841551,85.19221874115846
Paddy-2022-2025,429.1933198677985,0.122626662819371,16.34894600195817,83.65105399804183
Ragi-2015-2019,323.7854274876061,0.15484716761721956,14.459778305495757,85.54022169450424
Ragi-2019-2022,999.9157246570246,0.3367853569070477,32.325060125504294,67.6749398744957
Ragi-2022-2025,1008.9047286898107,0.17231506894787543,26.59929655644671,73.40070344355328
Red_Chillies,2907.854955402675,0.0855251457471375,12.218390207319613,87.78160979268038
Red_Gram,2269.128850728685,0.29054146616244364,4.1198689124467376e+20,-4.1198689124467376e+20
Rubber,2423.043889685559,0.19861015489225892,15.359414389201579,84.64058561079842
Seasame-2015-2019,2339.507297520559,0.17117039339586215,27.686327158820507,72.3136728411795
Seasame-2019-2022,3341.139210957364,0.2611693278322023,34.19706208920063,65.80293791079937
Seasame-2022-2025,2004.9013634930977,0.1812585989958501,15.09425281265896,84.90574718734103
Sugarcane,1151.6900071970476,2.915670904296323,21.918033161719904,78.0819668382801
Sunflower,1373.1274296960828,0.231712357356747,25.729601878632874,74.27039812136712
Tapioca,619.9998291907924,0.04592591327339203,16.546946513910026,83.45305348608997
Turmeric,3630.543412788713,0.12256239999961896,24.405889005247893,75.5941109947521
